Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Elantra VI (AD),1088000,2017,78946,седан,чёрный,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104708362-5760f7b0/
Hyundai Elantra V (MD),709000,2012,74900,седан,серый,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104698286-07964224/
Hyundai Elantra VI (AD) Рестайлинг,1305000,2019,38835,седан,серебристый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104694269-bf3c862c/
Hyundai Elantra III (XD),183000,2003,285000,седан,синий,1.6,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104688304-eda1e8ad/
Hyundai Elantra III (XD2) Рестайлинг,200000,2003,387600,хэтчбек 5 дв.,синий,1.6,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104606463-52f0f44a/
Hyundai Elantra V (MD) Рестайлинг,720000,2013,205492,седан,белый,1.8,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104671468-df9a656d/
Hyundai Elantra IV (HD),319000,2006,338415,седан,жёлтый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104614115-79d63cde/
Hyundai Elantra IV (HD),290000,2007,322000,седан,чёрный,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,2,Оригинал,3.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103845068-5c6b45d3/
Hyundai Elantra V (MD),619000,2011,174701,седан,чёрный,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104647989-ce181bad/
Hyundai Elantra IV (HD),450000,2007,203000,седан,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104883875-6cff1077/
Hyundai Elantra ТагАЗ III (XD2) Рестайлинг,350000,2009,209155,седан,серый,1.6,105,Бензин,2625,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104629554-e8c40ef8/
Hyundai Elantra ТагАЗ III (XD2) Рестайлинг,210000,2008,260000,седан,синий,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103683482-300feb4e/
Hyundai Elantra III (XD2) Рестайлинг,250000,2005,190000,седан,синий,1.6,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,2.4,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104880166-97776216/
Hyundai Elantra V (MD),769000,2012,81742,седан,серый,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104583911-ba33bb45/
Hyundai Elantra III (XD2) Рестайлинг,210000,2004,191000,седан,жёлтый,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,10.1,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104876973-3ecd8d7b/
Hyundai Elantra VI (AD),899000,2016,126366,седан,белый,2.0,150,Бензин,5250,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104583366-8063ee40/
Hyundai Elantra IV (HD),438000,2009,181000,седан,серый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1,Оригинал,11.4,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104685157-d3c42de3/
"Hyundai Elantra II (J2, J3)",225000,2000,216000,универсал 5 дв.,серый,2.0,139,Бензин,4865,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,9.8,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103440771-22d98bf8/
Hyundai Elantra III (XD2) Рестайлинг,345000,2005,152410,седан,чёрный,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104872180-92828b02/
Hyundai Elantra III (XD2) Рестайлинг,215000,2006,165000,седан,зелёный,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104226290-19016ee5/
Hyundai Elantra III (XD2) Рестайлинг,270000,2004,196000,хэтчбек 5 дв.,серый,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104869422-61e0462a/
Hyundai Elantra IV (HD),500000,2009,258000,седан,фиолетовый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104712440-5cac1249/
