Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Привод,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Kia Ceed I Рестайлинг,519000,2011,219138,хэтчбек 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104047030-2d94f9af/
Kia Ceed I Рестайлинг,610000,2012,107156,универсал 5 дв.,чёрный,1.6,125,Бензин,3125,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103399231-5e062b39/
Kia Ceed III,1269000,2018,43606,хэтчбек 5 дв.,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103883306-fd9c8294/
Kia Ceed II Рестайлинг,1007000,2017,63207,универсал 5 дв.,серебристый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103731700-0f60d017/
Kia Ceed II Рестайлинг,817000,2015,110550,хэтчбек 5 дв.,серебристый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103829779-2aea28b4/
Kia Ceed II Рестайлинг,639000,2015,130650,хэтчбек 5 дв.,коричневый,1.6,130,Бензин,4420,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103650634-a085e694/
Kia Ceed II Рестайлинг,1187000,2017,71400,хэтчбек 3 дв.,коричневый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104005215-924e1797/
Kia Ceed I Рестайлинг,559000,2011,128138,хэтчбек 5 дв.,серебристый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103546285-87274aa0/
Kia Ceed I Рестайлинг,579000,2012,192537,универсал 5 дв.,серебристый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103971733-82b3c88e/
Kia Ceed II,730000,2014,49030,хэтчбек 5 дв.,синий,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103798858-6fdb6c77/
Kia Ceed I Рестайлинг,485000,2011,127000,хэтчбек 5 дв.,серый,1.4,109,Бензин,2725,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103799932-f453b705/
Kia Ceed II Рестайлинг,1179800,2016,73000,универсал 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104049190-f2532654/
Kia Ceed II,865000,2015,70500,хэтчбек 5 дв.,серебристый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103967360-f20d74b3/
Kia Ceed III,1429000,2018,32097,хэтчбек 5 дв.,красный,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103779058-58e98782/
Kia Ceed I Рестайлинг,549000,2010,118000,универсал 5 дв.,белый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103820114-8295f877/
Kia Ceed I,525000,2009,108000,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104042151-2704dd62/
Kia Ceed III,1325000,2019,31820,универсал 5 дв.,серебристый,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103298611-ea58fa22/
Kia Ceed II,890000,2015,102568,хэтчбек 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103902939-29c07bd5/
Kia Ceed II,685000,2013,177519,хэтчбек 5 дв.,чёрный,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104042166-86e301f8/
Kia Ceed II Рестайлинг,779000,2017,306000,универсал 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104051398-fea60150/
Kia Ceed II Рестайлинг,927000,2018,127000,универсал 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104051397-db087ba1/
Kia Ceed II Рестайлинг,1095000,2017,34537,универсал 5 дв.,серебристый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103803693-1ab6d87f/
Kia Ceed I Рестайлинг,535000,2011,129000,хэтчбек 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103470263-07f6b081/
Kia Ceed II Рестайлинг,868000,2015,82300,хэтчбек 5 дв.,красный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103993804-02172e03/
Kia Ceed III,1169000,2018,69800,хэтчбек 5 дв.,красный,1.6,128,Бензин,4352,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103637540-c03486b3/
Kia Ceed II Рестайлинг,1187000,2018,73332,универсал 5 дв.,чёрный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102961042-5e3a0691/
