Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Kia Sorento II,1050000,2012,180285,внедорожник 5 дв.,серебристый,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103723386-45519bb7/

Kia Sorento II Рестайлинг,1645000,2017,110200,внедорожник 5 дв.,чёрный,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103164375-807ab77f/

Kia Sorento II Рестайлинг,1315000,2013,195552,внедорожник 5 дв.,коричневый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103051365-2b6a6d66/

Kia Sorento II Рестайлинг,1597000,2019,94450,внедорожник 5 дв.,серебристый,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103494834-da0034f9/

Kia Sorento I Рестайлинг,550000,2007,176000,внедорожник 5 дв.,серый,2.5,170,Дизель,7650,автоматическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103439567-c5c51b3d/

Kia Sorento II Рестайлинг,1243000,2013,199295,внедорожник 5 дв.,серебристый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103719309-e0a0c67b/

Kia Sorento III Prime,2089000,2017,61294,внедорожник 5 дв.,чёрный,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1102943788-06da6a7d/

Kia Sorento II Рестайлинг,1327000,2017,156766,внедорожник 5 дв.,синий,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103597892-8304c959/

Kia Sorento II Рестайлинг,2067000,2018,55810,внедорожник 5 дв.,бежевый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103420928-46f574d0/

Kia Sorento II Рестайлинг,1599000,2015,67000,внедорожник 5 дв.,серый,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103377484-830a7438/

Kia Sorento III Prime Рестайлинг,2199000,2018,108572,внедорожник 5 дв.,белый,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103414376-a566948d/

Kia Sorento III Prime Рестайлинг,2775000,2019,25097,внедорожник 5 дв.,серый,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103572900-291dfaae/

Kia Sorento III Prime,2099000,2016,112443,внедорожник 5 дв.,белый,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103669107-320cb27b/

,,2010,62219,внедорожник 5 дв.,белый,2.4,175,Бензин,8575,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1101756133-954db844/

Kia Sorento III Prime Рестайлинг,2557000,2018,56400,внедорожник 5 дв.,белый,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103672923-251ad5fd/

Kia Sorento II Рестайлинг,1749000,2017,55298,внедорожник 5 дв.,белый,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103683254-9e7225a9/

Kia Sorento III Prime Рестайлинг,2570000,2018,50463,внедорожник 5 дв.,чёрный,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103472542-49f6be33/

Kia Sorento III Prime Рестайлинг,2211410,2018,90014,внедорожник 5 дв.,белый,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103018557-77648438/

Kia Sorento II Рестайлинг,1673000,2015,63988,внедорожник 5 дв.,чёрный,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103696412-9dc45d49/

Kia Sorento III Prime Рестайлинг,2700000,2019,23430,внедорожник 5 дв.,белый,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103636467-f379c479/

Kia Sorento II Рестайлинг,1670000,2018,50000,внедорожник 5 дв.,серый,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1102237063-b0df0693/

Kia Sorento III Prime Рестайлинг,2799000,2019,33399,внедорожник 5 дв.,чёрный,2.4,188,Бензин,9400,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103487173-391627f0/

Kia Sorento I Рестайлинг,458000,2007,191000,внедорожник 5 дв.,серебристый,2.5,170,Дизель,7650,механическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1102989715-2ebb4dd1/

