Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Kia Optima IV Рестайлинг,1599000,2019,34403,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104785472-51053985/
Kia Optima IV Рестайлинг,1077000,2019,127000,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104895243-ea3344f9/
Kia Optima IV Рестайлинг,1595000,2019,28800,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1103965336-85f7ba8b/
Kia Optima IV,1540000,2018,45000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,2.7,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104119906-8c79f181/
Kia Optima IV Рестайлинг,1100000,2019,120000,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104239489-5655540a/
Kia Optima IV,1370000,2017,111745,седан,синий,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104769162-f8a7e276/
Kia Optima IV Рестайлинг,2099000,2019,18165,седан,синий,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104767807-733895d8/
Kia Optima IV,1530000,2017,86462,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,4.3,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104892038-9291aa83/
Kia Optima IV,1390000,2016,150290,седан,синий,2.0,245,Бензин,18375,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104761144-ba7a68a4/
Kia Optima IV Рестайлинг,1260000,2018,103000,седан,коричневый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104084331-5bffbc20/
