Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Sonata VII (LF) Рестайлинг,1000000,2019,88000,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104678125-b0298246/
Hyundai Sonata VII (LF) Рестайлинг,1332000,2019,30650,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104768310-2e333e0a/
Hyundai Sonata VIII (DN8),1740000,2020,41000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,1.4,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104157677-b0fe96b6/
Hyundai Sonata VII (LF) Рестайлинг,1000000,2018,230000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104038722-b8b8bfe0/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,295000,2006,190000,седан,серебристый,2.7,172,"Бензин, газобаллонное оборудование",7740,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104805408-35373212/
Hyundai Sonata IV (EF) Рестайлинг,290000,2005,212065,седан,серебристый,2.0,131,Бензин,4585,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,3.7,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104651509-2f297ed8/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,429000,2011,118000,седан,чёрный,2.0,137,Бензин,4795,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104856022-b01e5a01/
Hyundai Sonata IV (EF) Рестайлинг,220000,2004,340000,седан,серый,2.0,131,Бензин,4585,механическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104887495-bd4fda52/
Hyundai Sonata VI (YF),729000,2010,148483,седан,серебристый,2.4,178,Бензин,8900,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104704342-073a18b4/
Hyundai Sonata VI (YF),745000,2011,158000,седан,синий,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104166472-d68e212a/
Hyundai Sonata VII (LF),1497000,2017,62054,седан,коричневый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104672686-525066be/
Hyundai Sonata V (NF),400000,2005,120000,седан,серебристый,2.4,161,Бензин,7245,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,10.8,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104886388-6e556cdf/
Hyundai Sonata VI (YF),657000,2012,168549,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104011956-18c136e6/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,365000,2008,183000,седан,серебристый,2.0,137,Бензин,4795,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104634240-3021c153/
Hyundai Sonata V (NF),360000,2006,205000,седан,красный,2.4,161,Бензин,7245,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,5.8,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104885402-fb924cb9/
