Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Mazda 6 III (GJ) Рестайлинг 2,2199000,2018,4535,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103681656-ac9b8e84/

Mazda 6 II (GH) Рестайлинг,900000,2011,128000,седан,чёрный,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103550641-6e944afe/

Mazda 6 III (GJ),1030000,2013,210000,седан,чёрный,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103760299-2e0ea034/

Mazda 6 III (GJ),1012000,2013,101062,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103664008-a3291680/

Mazda 6 I (GG),179000,2004,205094,седан,чёрный,2.3,166,Бензин,7470,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103654930-074bd477/

Mazda 6 II (GH) Рестайлинг,687000,2010,139108,седан,синий,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103454588-0431a785/

Mazda 6 III (GJ),1090000,2014,143000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103744416-ee4cd246/

Mazda 6 III (GJ),981000,2013,145432,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103381792-38000efd/

Mazda 6 I (GG),360000,2004,178000,универсал 5 дв.,серый,2.0,141,Бензин,4935,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103595724-f3792649/

Mazda 6 II (GH),520000,2008,151511,универсал 5 дв.,коричневый,1.8,120,"Бензин, газобаллонное оборудование",3000,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103758511-ec102194/

Mazda 6 III (GJ) Рестайлинг 2,1615000,2018,33661,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103245749-0cbe861c/

Mazda 6 III (GJ),935000,2015,296300,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103231317-ce36db1b/

Mazda 6 I (GG) Рестайлинг,410000,2006,151000,седан,фиолетовый,1.8,120,Бензин,3000,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103758379-1e9b127b/

Mazda 6 III (GJ) Рестайлинг,1655000,2017,30000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103757855-a000f181/

Mazda 6 III (GJ) Рестайлинг,1609000,2016,103128,седан,серый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103652370-213657e8/

Mazda 6 III (GJ),984000,2013,164787,седан,белый,2.0,145,Бензин,5075,механическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103466463-826b4fb1/

