Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Skoda Rapid I,410000,2014,140000,лифтбек,серый,1.4,122,Бензин,3050,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103760090-8b5a0068/
Skoda Rapid I,809000,2017,78500,лифтбек,белый,1.6,110,Бензин,3740,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103626263-6be10bdc/
Skoda Rapid I Рестайлинг,883000,2018,31240,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103698016-ec3d760f/
,,2016,370000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103504662-a8fef811/
Skoda Rapid I,465000,2015,244000,лифтбек,белый,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103762344-203623ac/
Skoda Rapid I,690000,2014,78427,лифтбек,красный,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103241779-c7077636/
Skoda Rapid I,629000,2014,104973,лифтбек,белый,1.4,122,Бензин,3050,роботизированная,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103693295-72cf3a33/
Skoda Rapid I Рестайлинг,810000,2019,76000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103760677-4fa5c581/
Skoda Rapid I,755263,2015,88406,лифтбек,синий,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103421467-c5e1efd5/
Skoda Rapid I Рестайлинг,693000,2018,33282,лифтбек,белый,1.6,110,Бензин,2750,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103503905-3e8c8b91/
Skoda Rapid I Рестайлинг,1069000,2019,16638,лифтбек,красный,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1102848820-60f020f7/
Skoda Rapid II,1470000,2020,2044,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103682784-b0f9753a/
Skoda Rapid I,784000,2014,30050,лифтбек,белый,1.4,122,Бензин,3050,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103687742-07226f95/
Skoda Rapid I,799000,2016,96038,лифтбек,синий,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103680788-65c30136/
Skoda Rapid I Рестайлинг,885000,2019,23700,лифтбек,синий,1.6,90,Бензин,900,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103688218-5d7e3bd9/
Skoda Rapid I,490000,2017,92027,лифтбек,жёлтый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1102056786-799a56c9/
Skoda Rapid I,698000,2016,121434,лифтбек,оранжевый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103520616-7e43b6c6/
Skoda Rapid I Рестайлинг,847000,2019,107823,лифтбек,коричневый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103680791-7d0d4aab/
Skoda Rapid I Рестайлинг,830000,2019,71052,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103390037-7f2bf804/
